FID,x,y,prb,old_pt,id,POINT_X,POINT_Y,Flow,Panel,Wshed,Order_100K
0,7687231.671460580100000,658894.671460580080000,0.000293579770230,0.000000000000000,0476,-122.506722753999990,45.456427069299998,Intermittent,1,Johnson Creek,1
1,7633771.962754464700000,690390.788414646170000,0.000293579770230,0.000000000000000,0506,-122.718354699000000,45.538948298599998,Intermittent,1,Willamette Streams,1
2,7685793.978224610000000,669158.407593587530000,0.000293579770230,0.000000000000000,0636,-122.513320601000000,45.484470758100002,Intermittent,1,Johnson Creek,1
3,7643078.523904760400000,664565.553114982320000,0.000293579770230,0.000000000000000,0012,-122.679327662000010,45.468838554700000,Perennial,1,Willamette Streams,1
4,7631323.439059511800000,689723.735175348590000,0.000293579770230,0.000000000000000,0014,-122.727835412000000,45.536934725099997,Intermittent,1,Willamette Streams,1
5,7693791.197657771400000,662354.559613817600000,0.000293579770230,0.000000000000000,0016,-122.481497676999990,45.466357700099998,Perennial,1,Johnson Creek,1
6,7654327.424249866000000,707897.792059006750000,0.000293579770230,1446.000000000000000,0017,-122.639968348000000,45.588466726500002,Perennial,1,Columbia Slough,1
7,7631168.258800158300000,662361.380520024570000,0.000293579770230,0.000000000000000,0058,-122.725499592000010,45.461904976900001,Perennial,1,Fanno Creek,1
8,7673664.000000000000000,662109.000000000000000,0.000293579770230,905.000000000000000,0060,-122.559900134000000,45.464303840100001,Perennial,1,Johnson Creek,1
9,7625667.373745635200000,691670.029333906600000,0.000293579770230,0.000000000000000,0078,-122.750112146000010,45.541840850900002,Intermittent,1,Willamette Streams,1
10,7695435.832042338300000,692525.972856742330000,0.000293579770230,0.000000000000000,0080,-122.477968031000000,45.549194088599997,Perennial,1,Columbia Slough,1
11,7616649.000000000000000,705740.393044620750000,0.000293579770230,1419.000000000000000,0105,-122.786851105000000,45.579721238499999,Intermittent,1,Willamette Streams,1
12,7613115.087105464200000,710176.868536023310000,0.000293579770230,0.000000000000000,0121,-122.801141071000000,45.591608752600003,Intermittent,1,Willamette Streams,1
13,7627834.524387794500000,683211.234204952840000,0.000293579770230,0.000000000000000,0122,-122.740741439000000,45.518815312699999,Perennial,1,Tualatin River,1
14,7685116.679461941100000,665902.064632549880000,0.000293579770230,967.000000000000000,0124,-122.515643878000010,45.475496024999998,Perennial,1,Johnson Creek,2
15,7687770.186470158400000,695722.911822949650000,0.000293579770230,1707.000000000000000,0129,-122.508191916000000,45.557440901000000,Perennial,1,Columbia Slough,2
16,7624042.023928144900000,694806.026394914140000,0.000293579770230,0.000000000000000,0137,-122.756795288000010,45.550314145300000,Intermittent,1,Willamette Streams,1
17,7643328.286745414100000,650122.300197000030000,0.000293579770230,724.000000000000000,0144,-122.676837678000000,45.429257478200000,Perennial,1,Tryon Creek,1
18,7630819.863081450600000,681198.052773236410000,0.000293579770230,0.000000000000000,0186,-122.728882129000000,45.513522373299999,Intermittent,1,Willamette Streams,1
19,7676309.405246864100000,665529.262002922590000,0.000293579770230,0.000000000000000,0188,-122.549930710000000,45.473866136300003,Perennial,1,Johnson Creek,2
20,7641815.497937870200000,655745.893519948350000,0.000293579770230,0.000000000000000,0208,-122.683320180000000,45.444563958899998,Perennial,1,Tryon Creek,2
21,7634133.380469338000000,687956.671079906170000,0.000293579770230,1265.000000000000000,0250,-122.716684066000000,45.532302049899997,Perennial,1,Willamette Streams,1
22,7693834.087444306400000,669743.038089656390000,0.000293579770230,0.000000000000000,0272,-122.482037003000000,45.486618940500001,Perennial,1,Johnson Creek,2
23,7665182.849540331400000,701704.642440999860000,0.000293579770230,1380.000000000000000,0273,-122.596951135000000,45.572267644800000,Perennial,1,Columbia Slough,1
24,7617031.162168770100000,689693.277123090690000,0.000293579770230,0.000000000000000,0298,-122.783587856000000,45.535756915599997,Perennial,1,Tualatin River,2
25,7634655.078070752300000,670013.192437388000000,0.000293579770230,1026.000000000000000,0314,-122.712731437000000,45.483146428799998,Perennial,1,Fanno Creek,1
26,7637544.692864672300000,710625.696658735630000,0.000293579770230,0.000000000000000,0329,-122.705791825000010,45.594707828399997,Perennial,1,Columbia Slough,2
27,7614868.810420084700000,701389.828555915040000,0.000293579770230,1379.000000000000000,0345,-122.793318783999990,45.567655648799999,Intermittent,1,Tualatin River,1
28,7662486.691310001500000,659310.668533799240000,0.000293579770230,866.000000000000000,0352,-122.603167121000000,45.455841588399998,Perennial,1,Johnson Creek,2
29,7630291.953670265200000,685564.289292576260000,0.000293579770230,0.000000000000000,0378,-122.731411136000010,45.525453026000001,Intermittent,1,Willamette Streams,1
30,7629824.554188952800000,663503.181601284890000,0.000293579770230,0.000000000000000,0426,-122.730857581000000,45.464933796899999,Intermittent,1,Fanno Creek,1
31,7645941.330462243400000,664601.863123941350000,0.000293579770230,945.000000000000000,0524,-122.668176265000000,45.469149342599998,Perennial,1,Willamette Streams,1
32,7637783.320287401800000,656450.501626315880000,0.000293579770230,0.000000000000000,0006,-122.699099790000010,45.446195889300000,Intermittent,2,Tryon Creek,1
33,7617021.248410869400000,696306.411340058200000,0.000293579770230,0.000000000000000,0089,-122.784356161999990,45.553886460000001,Intermittent,2,Tualatin River,1
34,7621205.143773880800000,701538.683800965080000,0.000293579770230,0.000000000000000,0153,-122.768602834000010,45.568554315900002,Intermittent,2,Willamette Streams,1
35,7621794.645764248400000,705690.913394358240000,0.000293579770230,0.000000000000000,0169,-122.766756677000000,45.579983248700003,Intermittent,2,Willamette Streams,1
